Car Make,model_NAME,YEAR ,price($),Mileage(km) ,colour/Color, fuel_Type,No. of Owners
nissan,Golf,2004 model,$56239,,,Hybrid,4.0
nissan,camry,two thousand,"$80,696",163813.0,  silver  ,Gasoline,five
Chevrolet,  3 Series  ,90,25777,75105 km,N/A,Hybrid,N/A
Volkswagen,F-150,n/a,58k,58138,black,plug-in hybrid,five
nissan,Camry,'19,,164133KM,N/A,hybrid,5
Ford,Silverado,2022,NULL,183173KM,silver,gasoline,two
Audi,camry,2012,68497,,black,HYBRID,4th
Chevrolet,Corolla,'22,86689.0,"90,470",red,diesel,
chevy,mustang,'15,N/A,"311,972",RED,Electric,n/a
Volkswagen,camry,11,"$83,006","68,707",unknown,Hybrid,N/A
Nissan,Silverado,2023,negotiable,,White,gasoline,
NULL,civic,2014,N/A,"  196,562  ",,NA,three
  #N/A  ,Corolla,  two thousand  ,"$67,513",312863KM,green,-,5.0
B.M.W,F-150,,"$19,486",  23244.0  ,NA,NA,N/A
toyota,Accord,'07,N/A,"192,948",Grey,Hybrid,4.0
chevy,Sentra,2017.0,,"335,266",red,PETROL,4
Honda,civic,nineteen ninety five,5k,97542KM,gray,Unknown,N/A
BMW,F 150,13,negotiable,117567,n/a,Diesel,2 owners
volkswagen,Altima,two thousand,18k,"226,816",Green,petrol,one
AUDI,Accord,,5718 USD,unknown,red,DIESEL,
Chevrolet,3 Series,2015.0,19139.00,194269.0,Green,,1
Toyota,Corolla,2015.0,68249,239720,white,Diesel,5 owners
Honda,Sentra,N/A,"$18,864",31502.8 miles,SILVER,EV,
VW,Altima,'09,64245 USD,8722KM,silver,electric,1st
Ford,Civic,1991 model,59807.00,N/A,Grey,gasoline,
Honda,Sentra,20,27k,129247KM,Black,,N/A
chevy,Golf,-,"$64,793",112190 km,White,,
bmw,mustang,10,null,338636,red,PETROL,five
ford,Silverado,2019 model,negotiable,101088KM,Blue,electric,N/A
Honda,Accord,2009 model,78344.00,300352,Red,DIESEL,N/A
VW,silverado,two thousand and five,$34435,312378 km,RED,Unknown,4
HONDA,Camry,NULL,null,1580 km,White,PETROL,
n/a,  3 Series  ,1997 model,25392.00,281678,SILVER,Unknown,2nd
AUDI,-,'18,80352.00,15860.8 miles,white,petrol,4th
BMW,Elantra,2021.0,,unknown,?,Hybrid,five
chevy,Corolla,nineteen ninety five,$26966,16793.0 miles,Black,Hybrid,NA
Nissan,Golf,twenty ten,negotiable,188355 km,black,DIESEL,3rd
Chevrolet,  Mustang  ,21,,257213.0,,Gas,three
AUDI,null,2021,4061,3466KM,N/A,,
HONDA,Corolla,'92,  14255  ,212482,SILVER,Hybrid,N/A
toyota,F 150,2010,4k,"108,610",N/A,gasoline,
Nissan,Accord,1991.0,85115.0,unknown,Gray,plug-in hybrid,2.0
TOYOTA,F 150,2017,60830,null,green,Unknown,4 owners
nissan,null,twenty twenty,12082.00,189333.0,Black,diesel,4
VW,Altima,2005,NULL,122536.4 miles,Black,Hybrid,
Nissan,Corolla,twenty ten,80372.0,251257,N/A,Hybrid,5th
B.M.W,Silverado,2023.0,,304358.0,N/A,diesel,4th
  Hyundai  ,Accord,1994 model,$41356,"23,426",Blue,Petrol,N/A
TOYOTA,Altima,'96,$72371,98020KM,silver,electric,N/A
ford,Silverado,14,negotiable,"312,698",blue,Hybrid,
Audi,Camry,2004.0,"$40,284",17141.0,Black,diesel,
toyota,Golf,06,47688 USD,,Gray,#N/A,2nd
ford,Elantra,93,N/A,213721.6 miles,blue,gasoline,2nd
TOYOTA,  Golf  ,,10300.00,280192.0,SILVER,Diesel,4 owners
  ford  ,mustang,2000,N/A,"48,937",?,NULL,NA
Ford,F-150,2010 model,"$50,177",156895 km,blue,Hybrid,
B.M.W,Mustang,,  34k  ,180322.6 miles,unknown,Electric,
,Elantra,nineteen ninety five,73612,90581KM,gray,PETROL,one
Audi,N/A,2009,,229368 km,white,petrol,  2.0  
nissan,Mustang,'23,10371.0,,N/A,PETROL,4
volkswagen,Elantra,,$44179,,Grey,NULL,3
B.M.W,Golf,13,79554,unknown,null,,2
Volkswagen,Elantra,13,,44513 km,N/A,Gasoline,
BMW,Golf,,43160.00,  213129.0  ,Blue,,3 owners
NA,Camry,'15,$61270,"291,479",green,diesel,  1  
Hyundai,camry,'00,,NA,SILVER,plug-in hybrid,1 owner
NA,n/a,NULL,,285484KM,gray,EV,five
  chevy  ,F 150,2001,N/A,"310,650",Silver,,
Chevrolet,camry,,N/A,307552 km,blue,Gasoline,5 owners
BMW,3series,#N/A,92242 USD,unknown,blue,Gas,1st
Hyundai,Camry,,$29483,130831,RED,EV,3
N/A,Corolla,  2011  ,#N/A,196848.0,BLUE,PETROL,N/A
  HONDA  ,Sentra,2020 model,28k,50849 km,-,Diesel,2.0
chevy,silverado,,79296.0,unknown,green,petrol,-
ford,camry,2017.0,N/A,228271 km,White,gasoline,5
  HONDA  ,silverado,twenty ten,55856,"138,483",SILVER,plug-in hybrid,NULL
ford,mustang,'18,  N/A  ,-,Grey,PETROL,N/A
Silverado,Hyundai,2015.0,negotiable,64945.0,,Petrol,two
Volkswagen,Camry,,64140,  43113.7 miles  ,?,Gas,5 owners
volkswagen,Sentra,2008.0,N/A,56677KM,  gray  ,null,3 owners
bmw,Accord,two thousand and five,"$91,957","280,302",?,plug-in hybrid,3 owners
Audi,Altima,two thousand and five,,101996,  Green  ,Gasoline,4th
-,Altima,'00,#N/A,46159.0,blue,,4.0
HONDA,Golf,  2023.0  ,negotiable,,Silver,hybrid,  2nd  
toyota,F-150,1991,null,60707KM,Grey,HYBRID,4.0
Volkswagen,,twenty ten,94200.00,214830.0,black,Gas,1 owner
toyota,mustang,,90705,163948,Grey,Gasoline,1st
BMW,F-150,twenty ten,  93248 USD  ,30747.0,BLUE,Gasoline,four
B.M.W,Accord,'23,N/A,unknown,Blue,hybrid,two
Audi,Golf,,67333,234392 km,Silver,Gasoline,4.0
chevy,Golf,1997.0,14k,,white,  Petrol  ,N/A
Audi,F-150,'18,61950,345220,N/A,Unknown,
Honda,3series,twenty twenty,40k,,blue,gasoline,N/A
nissan,silverado,'08,"$57,363",6695,Green,n/a,N/A
HONDA,camry,2014,52797,218400KM,,electric,five
Volkswagen,F-150,14,"$7,326",224661KM,n/a,,3
TOYOTA,3 Series,#N/A,29964.00,347778.0,Silver,electric,
chevy,Silverado,2022.0,,255225 km,red,Electric,2
Golf,Toyota,,  6k  ,45886 km,RED,petrol,
HONDA,  mustang  ,'95,"$38,899",  142615.3 miles  ,SILVER,Hybrid,one
TOYOTA,mustang,03,"$47,069",68993.8 miles,Grey,Unknown,
B.M.W,F-150,'08,N/A,36599KM,NA,electric,N/A
AUDI,null,2007 model,$20350,n/a,White,DIESEL,1st
  NULL  ,Sentra,twenty twenty,"$69,388",73594.0,Gray,Gas,2 owners
Audi,F 150,2014.0,,123338.7 miles,N/A,PETROL,
N/A,F-150,20,,251036,gray,Diesel,five
VW,A4,,"$30,752",215360KM,unknown,  gasoline  ,five
Volkswagen,F-150,,,unknown,blue,,1 owner
TOYOTA,mustang,twenty twenty,$55562,135164,White,Petrol,1.0
Honda,mustang,'12,"$94,470",208734 km,null,Gasoline,
Nissan,Sentra,'23,-,194684.3 miles,red,  Gas  ,NA
TOYOTA,silverado,08,75284 USD,189946.6 miles,n/a,EV,3.0
Hyundai,Golf,1991 model,n/a,37885.6 miles,#N/A,PETROL,4th
Honda,Civic,,$28577,130912 km,NULL,EV,2
ford,camry,2023.0,,NA,green,petrol,5.0
chevy,3 Series,2015 model,38651.00,236311 km,BLUE,gasoline,N/A
Nissan,F-150,'00,N/A,112966KM,Black,plug-in hybrid,1 owner
AUDI,mustang,2019 model,84799 USD,unknown,BLUE,electric,4th
Honda,Corolla,  '03  ,23877.0,208166,null,Gasoline,1
volkswagen,  Mustang  ,'18,19709.0,282742KM,  BLUE  ,-,5 owners
B.M.W,Camry,13,"$26,716",unknown,green,hybrid,4th
AUDI,A4,2002,"$44,027",10168 km,blue,petrol,5 owners
VW,F 150,'02,negotiable,124335.6 miles,Red,Gasoline,N/A
bmw,,,84k,227625 km,Silver,Petrol,2.0
volkswagen,F-150,,negotiable,75816.0 miles,Silver,,3
TOYOTA,#N/A,'99,60901,unknown,Black,,N/A
ford,F 150,1992,NA,unknown,NA,Diesel,N/A
Volkswagen,camry,1994,41833.00,unknown,White,Unknown,one
Golf,  AUDI  ,,,,Silver,EV,
#N/A,mustang,twenty twenty,30157 USD,"165,100",Red,DIESEL,5
HONDA,camry,null,-,-,Silver,EV,N/A
Chevrolet,Corolla,2020,,unknown,green,Hybrid,3rd
  bmw  ,NA,2012.0,79840 USD,  343623.0  ,Red,Electric,N/A
Volkswagen,Mustang,twenty twenty,83663,74106KM,,n/a,four
Chevrolet,A4,nineteen ninety five,#N/A,60743.3 miles,White,Unknown,
Chevrolet,3series,98,13507 USD,"200,386",Green,diesel,4.0
Corolla,Chevrolet,,N/A,unknown,Silver,  gasoline  ,1.0
VW,f150,,,245767.0,?,EV,2.0
  nissan  ,3series,1992 model,81682 USD,199425,Silver,Hybrid,null
toyota,Silverado,1999,"$62,762","338,743",Gray,PETROL,5.0
Volkswagen,Sentra,2000.0,51634 USD,"288,539",SILVER,  petrol  ,two
  B.M.W  ,Civic,nineteen ninety five,61472.00,#N/A,,PETROL,
AUDI,Altima,,61k,NULL,silver,petrol,1 owner
AUDI,mustang,two thousand and five,"$81,802",  165931.0  ,Black,Unknown,
  #N/A  ,Camry,2002.0,92441.0,N/A,Black,PETROL,3rd
toyota,Silverado,N/A,76048 USD,  null  ,green,,1st
B.M.W,3 Series,2018,N/A,113319,Green,Electric,  2nd  
Nissan,Silverado,n/a,2538,163043 km,red,PETROL,
volkswagen,Accord,2007,20k,,null,diesel,
volkswagen,  Corolla  ,'19,76k,69098.0,RED,HYBRID,1.0
ford,Silverado,,55k,56089.0,NA,,1.0
Audi,A4,1997,  negotiable  ,"312,515",Gray,electric,5 owners
-,Golf,2002 model,N/A,165988 km,black,-,
volkswagen,Civic,,,unknown,White,,four
AUDI,F 150,2019.0,68770.00,"222,363",green,HYBRID,4.0
Honda,  Golf  ,'23,$12254,274389KM,unknown,PETROL,
VW,Altima,2000,77k,27063.0,,Electric,5
Volkswagen,camry,,,unknown,n/a,gasoline,four
VW,Mustang,'99,N/A,227925,Red,Electric,4
BMW,Accord,1990,90185.0,,NA,Petrol,N/A
BMW,Mustang,,,,n/a,HYBRID,NA
Hyundai,Mustang,1996,negotiable,"38,230",  RED  ,DIESEL,N/A
VW,F-150,2024,$49044,,,Electric,
Hyundai,Civic,'98,$6679,,Red,diesel,4.0
ford,A4,1991,"$63,763",,red,diesel,2 owners
Chevrolet,  Civic  ,1992.0,"$79,736",,Silver,PETROL,one
VW,f150,'03,20754.00,"335,452",Black,Unknown,
bmw,Mustang,93,"$27,391",59076,blue,,4
Chevrolet,civic,null,44746.00,unknown,Blue,diesel,four
BMW,Accord,two thousand,$40687,  unknown  ,null,  Gas  ,5th
Volkswagen,camry,'17,71615.00,206737 km,gray,Gasoline,n/a
Hyundai,Camry,'94,52k,108476.1 miles,Green,petrol,null
Ford,A4,2003 model,,168015KM,silver,DIESEL,5
TOYOTA,3series,2001,"$39,797",40342.0,Blue,Gas,three
Chevrolet,A4,23,73k,#N/A,Gray,Electric,5th
Audi,f150,2018 model,36132,,NULL,Diesel,5 owners
f150,NA,2018 model,NA,58885 km,gray,petrol,2 owners
chevy,3series,1999.0,N/A,,SILVER,EV,1 owner
Volkswagen,Accord,  1994 model  ,  79k  ,unknown,RED,Petrol,n/a
  HONDA  ,Elantra,,66k,338053.0,white,Petrol,1
toyota,Mustang,2013.0,56986.0,333576 km,silver,petrol,
VW,Elantra,11,  23368.00  ,53696 km,White,gasoline,5.0
B.M.W,mustang,-,29504,68271.0,RED,n/a,1st
Audi,3 Series,nineteen ninety five,$23044,262476,unknown,diesel,
bmw,Silverado,2004,#N/A,"59,163",Silver,Gasoline,4.0
chevy,F 150,'90,90363.0,257765 km,,NA,4
Nissan,3 Series,2020.0,"$89,382",,SILVER,plug-in hybrid,N/A
null,mustang,,66258.0,264657,Black,N/A,3rd
volkswagen,silverado,'20,64k,294783.0,,Unknown,
toyota,civic,null,32k,339782 km,black,PETROL,1 owner
Chevrolet,F 150,,49622.0,142065.9 miles,White,plug-in hybrid,1 owner
HONDA,Elantra,twenty twenty,negotiable,"104,897",Grey,Hybrid,3
HONDA,Elantra,2016.0,43k,n/a,?,Diesel,4 owners
VW,Camry,'93,N/A,164576 km,unknown,Electric,1.0
B.M.W,Elantra,'03,,  56001KM  ,BLUE,Diesel,3rd
toyota,civic,two thousand,negotiable,  unknown  ,black,EV,1
VW,Elantra,2011,N/A,$31224,BLUE,DIESEL,
ford,Sentra,16,43864 USD,,gray,gasoline,
Nissan,Sentra,17,80694 USD,136397 km,blue,PETROL,3
nissan,F 150,N/A,21129.00,,black,DIESEL,
  N/A  ,Sentra,'92,N/A,"132,989",Green,Hybrid,
Honda,Sentra,2006 model,N/A,N/A,n/a,Gas,
  ford  ,F-150,2012 model,14265.0,106815KM,black,Gas,NULL
TOYOTA,Golf,2020,61513 USD,329439.0,Black,Petrol,  3 owners  
bmw,F 150,2014.0,negotiable,unknown,?,gasoline,  N/A  
Chevrolet,Golf,2004,86k,81301.0,gray,Unknown,5.0
Audi,Corolla,,"$4,132",unknown,,HYBRID,2
  Camry  ,volkswagen,'90,,61173.0,Red,Gas,4 owners
volkswagen,Civic,1995,NULL,$61595,blue,plug-in hybrid,four
Audi,Sentra,two thousand and five,32396.0,31826 km,Green,Petrol,n/a
HONDA,3series,two thousand,90k,342098 km,silver,plug-in hybrid,N/A
Ford,Sentra,2004.0,N/A,294640,white,plug-in hybrid,  3rd  
F 150,Ford,,28920.0,189602.0,BLUE,Electric,N/A
B.M.W,f150,'23,negotiable,#N/A,blue,hybrid,4
HONDA,Elantra,2015,91k,"290,251",black,electric,N/A
bmw,Corolla,2022,  74323  ,163710KM,Green,electric,two
volkswagen,Sentra,two thousand,$47919,,black,gasoline,N/A
nissan,Golf,  '21  ,negotiable,N/A,blue,Unknown,N/A
ford,f150,NULL,negotiable,159993,black,Diesel,2
AUDI,Elantra,n/a,negotiable,207301KM,Silver,,N/A
Toyota,null,two thousand and five,-,303852,Gray,PETROL,  5.0  
  toyota  ,mustang,2014.0,,  167793 km  ,blue,hybrid,NULL
volkswagen,f150,09,"$76,481",,Gray,NULL,
chevy,Civic,2022,38k,23847 km,BLUE,,5.0
AUDI,Accord,'91,92681,70110,,Petrol,N/A
Toyota,F-150,2019 model,50559,101182KM,Gray,Petrol,N/A
  VW  ,F 150,two thousand,$88486,"296,593",,-,1 owner
nissan,Mustang,nineteen ninety five,91151.00,271735,Gray,  plug-in hybrid  ,3 owners
Toyota,Altima,2011.0,34821,,Blue,plug-in hybrid,
HONDA,Sentra,  2017  ,10k,unknown,null,  petrol  ,5.0
Audi,Civic,n/a,85540 USD,266809.0,Black,EV,four
volkswagen,camry,2017.0,47064.00,102449.0,White,Diesel,N/A
Chevrolet,3series,2003,N/A,96597,,EV,
Ford,Camry,1998.0,negotiable,213387.2 miles,Blue,electric,N/A
Audi,Civic,2024 model,40k,"77,891",Silver,diesel,1st
VW,Mustang,  15  ,85637.00,306175.0,?,petrol,2nd
VW,Accord,2007.0,n/a,,,HYBRID,2
ford,silverado,'06,3118 USD,157010,black,EV,4.0
  Hyundai  ,Golf,1991 model,51112,72849.0,N/A,gasoline,3rd
3series,Nissan,'03,$53201,,green,Hybrid,
chevy,Silverado,1990,"$24,521",unknown,Grey,Hybrid,2.0
AUDI,civic,nineteen ninety five,$45108,298439KM,gray,HYBRID,N/A
BMW,Mustang,'24,40258.0,349520 km,  RED  ,Diesel,4 owners
Chevrolet,Golf,2021 model,,  $40815  ,RED,,2.0
toyota,Silverado,1996,53199,,Gray,petrol,5th
Chevrolet,Accord,2002,83877.00,67489.1 miles,green,n/a,4
BMW,Mustang,NULL,"$80,625",,?,Hybrid,2nd
HONDA,Civic,1999 model,51250 USD,null,?,petrol,#N/A
BMW,Golf,1990 model,"$10,469",160200.1 miles,NULL,Diesel,one
Nissan,3series,2000 model,,"231,408",Grey,Unknown,5th
bmw,f150,'02,,unknown,,EV,N/A
toyota,3series,2017 model,34347,"127,062",gray,petrol,3 owners
HONDA,Silverado,,$88309,$14154,N/A,Electric,N/A
ford,Civic,,25853.00,"263,514",Blue,HYBRID,five
Ford,Camry,93,36875.0,3788,,petrol,1.0
  Camry  ,Ford,2019,93528.0,210663KM,blue,Petrol,#N/A
nissan,A4,,52444.0,154068,unknown,Diesel,  two  
Chevrolet,3series,2007 model,"$30,885",135071.0,#N/A,plug-in hybrid,1
Audi,Civic,nineteen ninety five,77k,192800,blue,electric,
Hyundai,f150,nineteen ninety five,21k,348835.0,red,electric,N/A
BMW,Camry,,,unknown,,plug-in hybrid,3
VW,mustang,1999 model,29494 USD,114366 km,White,  #N/A  ,N/A
VW,mustang,,NULL,196802KM,,PETROL,N/A
HONDA,Altima,'98,-,unknown,RED,,
ford,Altima,,87542,84520 km,n/a,-,3
Ford,camry,05,n/a,61282.8 miles,blue,Electric,
chevy,Altima,,,unknown,Grey,gasoline,3
Ford,F-150,#N/A,  71006 USD  ,160720KM,N/A,plug-in hybrid,
Nissan,Altima,'07,negotiable,"335,121",silver,diesel,5.0
toyota,Corolla,2008 model,"$74,634",258395.0,Red,hybrid,5.0
AUDI,Golf,2000.0,"$90,410",,white,Gas,1
Volkswagen,camry,twenty ten,N/A,null,red,EV,1 owner
Honda,F-150,2018 model,,230349,BLUE,gasoline,NA
Nissan,#N/A,14,N/A,NULL,Blue,Petrol,2nd
Ford,Silverado,2001,NA,unknown,null,gasoline,2
B.M.W,Accord,93,25k,21437.0,Red,petrol,-
TOYOTA,F-150,1998 model,84517.00,196105.7 miles,Blue,petrol,N/A
Ford,Elantra,94,NA,219678KM,Green,Unknown,N/A
Toyota,Silverado,2019.0,68k,275289 km,Black,Electric,two
volkswagen,Mustang,1998 model,,,black,electric,one
Nissan,f150,2018,negotiable,"227,490",silver,N/A,4.0
Toyota,Sentra,,51528,"201,321",,Gasoline,one
B.M.W,camry,2024,92707,140224 km,null,,
B.M.W,F-150,2008.0,$48833,39997,unknown,electric,
ford,f150,2010,21369 USD,unknown,Gray,plug-in hybrid,N/A
B.M.W,-,95,N/A,221166,Green,diesel,one
Ford,f150,#N/A,5453 USD,222669 km,null,petrol,1.0
toyota,Sentra,2001 model,negotiable,84068KM,Red,Hybrid,
Chevrolet,3series,2014.0,$23603,  28663 km  ,silver,hybrid,  n/a  
TOYOTA,mustang,1990.0,,,SILVER,Unknown,two
B.M.W,Civic,'99,"$23,108",,Green,Unknown,3 owners
TOYOTA,  A4  ,1996,61k,,BLUE,Electric,2 owners
chevy,NA,'10,50k,43773,,hybrid,
Ford,Corolla,2001.0,$16201,,N/A,Diesel,4 owners
bmw,Camry,17,$37369,132157KM,?,Gas,null
3series,Audi,two thousand,N/A,,White,PETROL,5
nissan,n/a,00,80766 USD,197948,White,EV,2 owners
null,mustang,,$85113,148503 km,unknown,Gasoline,N/A
Hyundai,Elantra,2015.0,null,,white,Unknown,3rd
toyota,Altima,  2017.0  ,  18891.0  ,"333,590",SILVER,Gas,4.0
TOYOTA,Altima,14,5314.00,68444KM,Gray,EV,two
VW,3 Series,2003,negotiable,52780 km,  gray  ,N/A,four
N/A,Civic,91,N/A,12078 km,Green,Unknown,two
Honda,  3series  ,1996 model,negotiable,unknown,black,Gas,2.0
chevy,3series,1991.0,17027.00,94321 km,#N/A,hybrid,two
n/a,Altima,16,91408,228173.0,Silver,electric,  2.0  
Toyota,  Corolla  ,,  N/A  ,  unknown  ,black,DIESEL,3
,civic,2000 model,13536,100222KM,silver,,1st
Hyundai,F-150,2023.0,N/A,126103.0,N/A,plug-in hybrid,four
Volkswagen,Silverado,2010,"$42,871",147941.6 miles,null,  gasoline  ,5 owners
Hyundai,3 Series,06,"$17,509",null,RED,EV,
  toyota  ,camry,07,33295 USD,unknown,green,Gasoline,3.0
TOYOTA,F 150,'01,N/A,#N/A,blue,Petrol,four
HONDA,Accord,2018.0,N/A,183910.0,green,  DIESEL  ,4
nissan,3 Series,2003 model,13701.0,101629.0,SILVER,Gasoline,
Toyota,A4,two thousand,63k,$37955,Green,Electric,#N/A
ford,Civic,'17,N/A,26301.4 miles,black,diesel,1st
Hyundai,silverado,'01,N/A,,null,gasoline,5.0
ford,3series,1990,62k,271585 km,Gray,petrol,1 owner
Toyota,A4,2002,17035.0,,Red,gasoline,  five  
ford,  civic  ,2000.0,69k,286618 km,White,plug-in hybrid,NULL
Hyundai,Mustang,1990.0,22750.0,unknown,Green,Unknown,
Volkswagen,Silverado,twenty ten,$18963,169909,N/A,EV,5
Ford,camry,  1994.0  ,$59872,196252.0,  unknown  ,Petrol,  2.0  
nissan,Altima,24,11432.00,  null  ,BLUE,Unknown,
Honda,3series,two thousand,10906.0,82765KM,black,PETROL,null
,Altima,'92,"$47,330",37100KM,Grey,  PETROL  ,N/A
  Nissan  ,3series,NA,$58324,null,green,  gasoline  ,1 owner
B.M.W,mustang,1998,81k,129627.7 miles,gray,Gasoline,1.0
TOYOTA,Civic,1998,  N/A  ,"120,867",black,n/a,2
nissan,silverado,1993,88560 USD,,red,,3rd
volkswagen,Golf,'17,negotiable,  185179.6 miles  ,Green,DIESEL,two
BMW,Golf,2019.0,negotiable,143343.1 miles,N/A,HYBRID,1.0
Hyundai,Altima,2010.0,NULL,,NA,petrol,
NA,3 Series,2020,40k,"326,063",Red,Gas,
Volkswagen,Altima,'16,72643.0,63565.0,Green,petrol,5 owners
AUDI,civic,18,null,"120,462",N/A,gasoline,
  toyota  ,Elantra,,92445.0,unknown,RED,gasoline,5.0
HONDA,A4,1998,26045 USD,,Green,PETROL,N/A
ford,camry,2003.0,58k,"272,176",  Black  ,electric,1
bmw,Camry,'21,negotiable,"193,745",White,Electric,5th
Hyundai,Silverado,1994 model,,,red,hybrid,one
Volkswagen,Civic,90,"$58,927",35264,gray,,5.0
HONDA,Elantra,18,negotiable,,,hybrid,N/A
Chevrolet,  NULL  ,2015.0,negotiable,138549.4 miles,SILVER,DIESEL,1 owner
volkswagen,Corolla,  93  ,69980.0,  unknown  ,silver,,
B.M.W,camry,,18k,-,  ?  ,Hybrid,2
Honda,  Altima  ,'20,51359.0,152692KM,Grey,PETROL,2.0
TOYOTA,  F-150  ,00,,256802.0,N/A,diesel,
Chevrolet,-,2010,,  253229 km  ,Green,null,1.0
Honda,Silverado,  2010.0  ,82622.0,121095.1 miles,N/A,Gas,2nd
bmw,Civic,twenty ten,72481 USD,"240,435",Silver,Gasoline,1
Honda,F 150,2006 model,,,blue,Unknown,
Chevrolet,Corolla,1993.0,19k,268280 km,Gray,hybrid,four
volkswagen,Elantra,2012 model,,8242.4 miles,  silver  ,NULL,
Honda,A4,,7756,132664.0,Black,,
Hyundai,camry,2010 model,14776,,Black,Diesel,  null  
AUDI,Civic,2022.0,55641.0,,?,Petrol,3
B.M.W,mustang,02,19k,"162,784",  red  ,Hybrid,
Nissan,f150,24,N/A,110447KM,Grey,EV,3
  NULL  ,Accord,11,negotiable,"52,537",BLUE,EV,3rd
  Audi  ,3series,1991 model,23499.0,166899.9 miles,BLUE,Electric,
TOYOTA,civic,99,N/A,291162 km,silver,Petrol,4.0
chevy,A4,1991.0,  N/A  ,319040,n/a,diesel,
Volkswagen,F-150,,null,"181,554",null,Gasoline,4 owners
nissan,silverado,2014 model,90436 USD,41947KM,  NULL  ,Petrol,#N/A
AUDI,F-150,2012,6798.0,278537 km,SILVER,diesel,two
Nissan,Silverado,1995,"$46,272",333835KM,black,hybrid,N/A
Honda,Silverado,1992,,129905.5 miles,BLUE,Electric,3
VW,silverado,90,negotiable,178570.0,Silver,EV,four
AUDI,3 Series,17,,"12,272",black,,4.0
chevy,F-150,,,280822.0,green,Hybrid,2nd
AUDI,civic,twenty ten,81915,,Green,PETROL,
bmw,Accord,  '98  ,  negotiable  ,21118.7 miles,Red,Diesel,N/A
TOYOTA,Elantra,'06,null,63429,unknown,,1 owner
B.M.W,A4,2003 model,negotiable,31647.6 miles,Silver,PETROL,4th
Hyundai,mustang,1999.0,93105.00,67398,blue,Electric,4th
A4,Volkswagen,01,65k,123780.0 miles,  Red  ,PETROL,three
Volkswagen,Corolla,'07,74520 USD,174248.0 miles,green,PETROL,n/a
Audi,A4,19,negotiable,281507 km,  red  ,electric,1.0
VW,F 150,2011.0,68491.0,157474.8 miles,Green,Electric,3 owners
BMW,Civic,1996.0,32382.0,111786.0,black,Unknown,3
3 Series,HONDA,1999.0,,unknown,silver,electric,4th
volkswagen,Civic,2003,82944.00,"263,687",Gray,DIESEL,1 owner
VW,f150,1994.0,44538 USD,134827.8 miles,blue,gasoline,
B.M.W,Golf,nineteen ninety five,-,-,,DIESEL,N/A
volkswagen,F-150,2024 model,22738.00,269222 km,RED,HYBRID,5th
  Toyota  ,civic,2010 model,N/A,78902.0,Black,diesel,N/A
B.M.W,Civic,02,N/A,NA,Grey,DIESEL,two
